Date,Sector,Value,Region,Short_Code
1983,Health care and social assistance ,47300,Western,MB
1983,"Information, culture and recreation ",18500,Western,MB
1983,Manufacturing,57000,Western,MB
1983,Other services (except public administration),22400,Western,MB
1983,"Professional, scientific and technical services",13500,Western,MB
1983,Public administration,33600,Western,MB
1983,Transportation and warehousing,32800,Western,MB
1983,Utilities,5400,Western,MB
1983,Wholesale and retail trade,79700,Western,MB
1984,Accommodation and food services,25900,Western,MB
1984,Agriculture,42100,Western,MB
1984,"Business, building and other support services",7300,Western,MB
1984,Construction,24600,Western,MB
1984,Educational services,32500,Western,MB
1984,"Finance, insurance, real estate, rental and leasing",26600,Western,MB
1984,"Forestry, fishing, mining, quarrying, oil and gas",9100,Western,MB
1984,Health care and social assistance ,48000,Western,MB
1984,"Information, culture and recreation ",17200,Western,MB
1984,Manufacturing,57300,Western,MB
1984,Other services (except public administration),22900,Western,MB
1984,"Professional, scientific and technical services",12600,Western,MB
1984,Public administration,33300,Western,MB
1984,Transportation and warehousing,35700,Western,MB
1984,Utilities,4800,Western,MB
1984,Wholesale and retail trade,79100,Western,MB
1985,Accommodation and food services,25100,Western,MB
1985,Agriculture,42000,Western,MB
1985,"Business, building and other support services",7600,Western,MB
1985,Construction,23800,Western,MB
1985,Educational services,31700,Western,MB
1985,"Finance, insurance, real estate, rental and leasing",27300,Western,MB
1985,"Forestry, fishing, mining, quarrying, oil and gas",9400,Western,MB
1985,Health care and social assistance ,50300,Western,MB
1985,"Information, culture and recreation ",16900,Western,MB
1985,Manufacturing,57900,Western,MB
1985,Other services (except public administration),22400,Western,MB
1985,"Professional, scientific and technical services",11400,Western,MB
1985,Public administration,35400,Western,MB
1985,Transportation and warehousing,37000,Western,MB
1985,Utilities,5600,Western,MB
1985,Wholesale and retail trade,83100,Western,MB
1986,Accommodation and food services,28300,Western,MB
1986,Agriculture,42200,Western,MB
1986,"Business, building and other support services",8700,Western,MB
1986,Construction,25300,Western,MB
1986,Educational services,31700,Western,MB
1986,"Finance, insurance, real estate, rental and leasing",27800,Western,MB
1986,"Forestry, fishing, mining, quarrying, oil and gas",8400,Western,MB
1986,Health care and social assistance ,55300,Western,MB
1986,"Information, culture and recreation ",17600,Western,MB
1986,Manufacturing,58100,Western,MB
1986,Other services (except public administration),24000,Western,MB
1986,"Professional, scientific and technical services",11400,Western,MB
1986,Public administration,35900,Western,MB
1986,Transportation and warehousing,37500,Western,MB
1986,Utilities,5200,Western,MB
1986,Wholesale and retail trade,83200,Western,MB
1987,Accommodation and food services,28000,Western,MB
1987,Agriculture,40800,Western,MB
1987,"Business, building and other support services",9700,Western,MB
1987,Construction,30100,Western,MB
1987,Educational services,31700,Western,MB
1987,"Finance, insurance, real estate, rental and leasing",31000,Western,MB
1987,"Forestry, fishing, mining, quarrying, oil and gas",8400,Western,MB
1987,Health care and social assistance ,58100,Western,MB
1987,"Information, culture and recreation ",19500,Western,MB
1987,Manufacturing,56300,Western,MB
1987,Other services (except public administration),25000,Western,MB
1987,"Professional, scientific and technical services",12100,Western,MB
1987,Public administration,34400,Western,MB
1987,Transportation and warehousing,33600,Western,MB
1987,Utilities,5700,Western,MB
1987,Wholesale and retail trade,80900,Western,MB
1988,Accommodation and food services,28800,Western,MB
1988,Agriculture,39000,Western,MB
1988,"Business, building and other support services",9900,Western,MB
1988,Construction,24300,Western,MB
1988,Educational services,33000,Western,MB
1988,"Finance, insurance, real estate, rental and leasing",30200,Western,MB
1988,"Forestry, fishing, mining, quarrying, oil and gas",9600,Western,MB
1988,Health care and social assistance ,55900,Western,MB
1988,"Information, culture and recreation ",20200,Western,MB
1988,Manufacturing,59200,Western,MB
1988,Other services (except public administration),24800,Western,MB
1988,"Professional, scientific and technical services",14200,Western,MB
1988,Public administration,34700,Western,MB
1988,Transportation and warehousing,35600,Western,MB
1988,Utilities,5700,Western,MB
1988,Wholesale and retail trade,81200,Western,MB
1989,Accommodation and food services,31100,Western,MB
1989,Agriculture,40800,Western,MB
1989,"Business, building and other support services",10400,Western,MB
1989,Construction,23200,Western,MB
1989,Educational services,33800,Western,MB
1989,"Finance, insurance, real estate, rental and leasing",30300,Western,MB
1989,"Forestry, fishing, mining, quarrying, oil and gas",9500,Western,MB
1989,Health care and social assistance ,56600,Western,MB
1989,"Information, culture and recreation ",19600,Western,MB
1989,Manufacturing,61000,Western,MB
1989,Other services (except public administration),23300,Western,MB
1989,"Professional, scientific and technical services",17100,Western,MB
1989,Public administration,34800,Western,MB
1989,Transportation and warehousing,36000,Western,MB
1989,Utilities,5600,Western,MB
1989,Wholesale and retail trade,79500,Western,MB
1990,Accommodation and food services,33000,Western,MB
1990,Agriculture,39900,Western,MB
1990,"Business, building and other support services",10800,Western,MB
1990,Construction,23700,Western,MB
1990,Educational services,36200,Western,MB
1990,"Finance, insurance, real estate, rental and leasing",30800,Western,MB
1990,"Forestry, fishing, mining, quarrying, oil and gas",8400,Western,MB
1990,Health care and social assistance ,58100,Western,MB
1990,"Information, culture and recreation ",19400,Western,MB
1990,Manufacturing,56300,Western,MB
1990,Other services (except public administration),25300,Western,MB
1990,"Professional, scientific and technical services",17700,Western,MB
1990,Public administration,34300,Western,MB
1990,Transportation and warehousing,33500,Western,MB
1990,Utilities,5300,Western,MB
1990,Wholesale and retail trade,81000,Western,MB
1991,Accommodation and food services,32700,Western,MB
1991,Agriculture,40400,Western,MB
1991,"Business, building and other support services",9200,Western,MB
1991,Construction,21500,Western,MB
1991,Educational services,36200,Western,MB
1991,"Finance, insurance, real estate, rental and leasing",31500,Western,MB
1991,"Forestry, fishing, mining, quarrying, oil and gas",8300,Western,MB
1991,Health care and social assistance ,60800,Western,MB
1991,"Information, culture and recreation ",19700,Western,MB
1991,Manufacturing,53400,Western,MB
1991,Other services (except public administration),24700,Western,MB
1991,"Professional, scientific and technical services",17400,Western,MB
1991,Public administration,33400,Western,MB
1991,Transportation and warehousing,32200,Western,MB
1991,Utilities,5500,Western,MB
1991,Wholesale and retail trade,79800,Western,MB
1992,Accommodation and food services,32700,Western,MB
1992,Agriculture,40200,Western,MB
1992,"Business, building and other support services",10200,Western,MB
1992,Construction,23100,Western,MB
1992,Educational services,36300,Western,MB
1992,"Finance, insurance, real estate, rental and leasing",28900,Western,MB
1992,"Forestry, fishing, mining, quarrying, oil and gas",7800,Western,MB
1992,Health care and social assistance ,60000,Western,MB
1992,"Information, culture and recreation ",18500,Western,MB
1992,Manufacturing,51400,Western,MB
1992,Other services (except public administration),24300,Western,MB
1992,"Professional, scientific and technical services",16300,Western,MB
1992,Public administration,35300,Western,MB
1992,Transportation and warehousing,30900,Western,MB
1992,Utilities,5200,Western,MB
1992,Wholesale and retail trade,78800,Western,MB
1993,Accommodation and food services,34000,Western,MB
1993,Agriculture,41600,Western,MB
1993,"Business, building and other support services",11400,Western,MB
1993,Construction,22900,Western,MB
1993,Educational services,35700,Western,MB
1993,"Finance, insurance, real estate, rental and leasing",28500,Western,MB
1993,"Forestry, fishing, mining, quarrying, oil and gas",7600,Western,MB
1993,Health care and social assistance ,59800,Western,MB
1993,"Information, culture and recreation ",17700,Western,MB
1993,Manufacturing,48600,Western,MB
1993,Other services (except public administration),24700,Western,MB
1993,"Professional, scientific and technical services",16000,Western,MB
1993,Public administration,35700,Western,MB
1993,Transportation and warehousing,31800,Western,MB
1993,Utilities,5400,Western,MB
1993,Wholesale and retail trade,82200,Western,MB
1994,Accommodation and food services,31700,Western,MB
1994,Agriculture,39400,Western,MB
1994,"Business, building and other support services",13000,Western,MB
1994,Construction,26300,Western,MB
1994,Educational services,36900,Western,MB
1994,"Finance, insurance, real estate, rental and leasing",28700,Western,MB
1994,"Forestry, fishing, mining, quarrying, oil and gas",7300,Western,MB
1994,Health care and social assistance ,59400,Western,MB
1994,"Information, culture and recreation ",19100,Western,MB
1994,Manufacturing,52100,Western,MB
1994,Other services (except public administration),23500,Western,MB
1994,"Professional, scientific and technical services",15200,Western,MB
1994,Public administration,35700,Western,MB
1994,Transportation and warehousing,33500,Western,MB
1994,Utilities,5400,Western,MB
1994,Wholesale and retail trade,80500,Western,MB
1995,Accommodation and food services,33100,Western,MB
1995,Agriculture,38500,Western,MB
1995,"Business, building and other support services",14100,Western,MB
1995,Construction,23500,Western,MB
1995,Educational services,36900,Western,MB
1995,"Finance, insurance, real estate, rental and leasing",29200,Western,MB
1995,"Forestry, fishing, mining, quarrying, oil and gas",7900,Western,MB
1995,Health care and social assistance ,60900,Western,MB
1995,"Information, culture and recreation ",20300,Western,MB
1995,Manufacturing,56600,Western,MB
1995,Other services (except public administration),22100,Western,MB
1995,"Professional, scientific and technical services",17600,Western,MB
1995,Public administration,34800,Western,MB
1995,Transportation and warehousing,34100,Western,MB
1995,Utilities,5600,Western,MB
1995,Wholesale and retail trade,81400,Western,MB
1996,Accommodation and food services,33500,Western,MB
1996,Agriculture,39500,Western,MB
1996,"Business, building and other support services",12800,Western,MB
1996,Construction,25000,Western,MB
1996,Educational services,36700,Western,MB
1996,"Finance, insurance, real estate, rental and leasing",28000,Western,MB
1996,"Forestry, fishing, mining, quarrying, oil and gas",8900,Western,MB
1996,Health care and social assistance ,61700,Western,MB
1996,"Information, culture and recreation ",20100,Western,MB
1996,Manufacturing,57900,Western,MB
1996,Other services (except public administration),22000,Western,MB
1996,"Professional, scientific and technical services",18900,Western,MB
1996,Public administration,36500,Western,MB
1996,Transportation and warehousing,33800,Western,MB
1996,Utilities,5200,Western,MB
1996,Wholesale and retail trade,77200,Western,MB
1997,Accommodation and food services,33100,Western,MB
1997,Agriculture,40800,Western,MB
1997,"Business, building and other support services",14300,Western,MB
1997,Construction,24400,Western,MB
1997,Educational services,35500,Western,MB
1997,"Finance, insurance, real estate, rental and leasing",27500,Western,MB
1997,"Forestry, fishing, mining, quarrying, oil and gas",10300,Western,MB
1997,Health care and social assistance ,62200,Western,MB
1997,"Information, culture and recreation ",19800,Western,MB
1997,Manufacturing,59200,Western,MB
1997,Other services (except public administration),22500,Western,MB
1997,"Professional, scientific and technical services",22800,Western,MB
1997,Public administration,36500,Western,MB
1997,Transportation and warehousing,33400,Western,MB
1997,Utilities,4900,Western,MB
1997,Wholesale and retail trade,77700,Western,MB
1998,Accommodation and food services,31200,Western,MB
1998,Agriculture,39300,Western,MB
1998,"Business, building and other support services",16000,Western,MB
1998,Construction,27400,Western,MB
1998,Educational services,36800,Western,MB
1998,"Finance, insurance, real estate, rental and leasing",28100,Western,MB
1998,"Forestry, fishing, mining, quarrying, oil and gas",9800,Western,MB
1998,Health care and social assistance ,62100,Western,MB
1998,"Information, culture and recreation ",18700,Western,MB
1998,Manufacturing,62800,Western,MB
1998,Other services (except public administration),24500,Western,MB
1998,"Professional, scientific and technical services",24300,Western,MB
1998,Public administration,34800,Western,MB
1998,Transportation and warehousing,32700,Western,MB
1998,Utilities,5500,Western,MB
1998,Wholesale and retail trade,80800,Western,MB
1999,Accommodation and food services,32800,Western,MB
1999,Agriculture,37000,Western,MB
1999,"Business, building and other support services",16600,Western,MB
1999,Construction,29400,Western,MB
1999,Educational services,37700,Western,MB
1999,"Finance, insurance, real estate, rental and leasing",30800,Western,MB
1999,"Forestry, fishing, mining, quarrying, oil and gas",6500,Western,MB
1999,Health care and social assistance ,63600,Western,MB
1999,"Information, culture and recreation ",19100,Western,MB
1999,Manufacturing,64600,Western,MB
1999,Other services (except public administration),24200,Western,MB
1999,"Professional, scientific and technical services",22400,Western,MB
1999,Public administration,33200,Western,MB
1999,Transportation and warehousing,34800,Western,MB
1999,Utilities,6500,Western,MB
1999,Wholesale and retail trade,82800,Western,MB
2000,Accommodation and food services,35400,Western,MB
2000,Agriculture,32800,Western,MB
2000,"Business, building and other support services",15900,Western,MB
2000,Construction,29100,Western,MB
2000,Educational services,39000,Western,MB
2000,"Finance, insurance, real estate, rental and leasing",30500,Western,MB
2000,"Forestry, fishing, mining, quarrying, oil and gas",6300,Western,MB
2000,Health care and social assistance ,68600,Western,MB
2000,"Information, culture and recreation ",20100,Western,MB
2000,Manufacturing,69700,Western,MB
2000,Other services (except public administration),23300,Western,MB
2000,"Professional, scientific and technical services",24500,Western,MB
2000,Public administration,33900,Western,MB
2000,Transportation and warehousing,35000,Western,MB
2000,Utilities,6500,Western,MB
2000,Wholesale and retail trade,81800,Western,MB
2001,Accommodation and food services,35000,Western,MB
2001,Agriculture,28600,Western,MB
2001,"Business, building and other support services",16200,Western,MB
2001,Construction,26800,Western,MB
2001,Educational services,39400,Western,MB
2001,"Finance, insurance, real estate, rental and leasing",30800,Western,MB
2001,"Forestry, fishing, mining, quarrying, oil and gas",6200,Western,MB
2001,Health care and social assistance ,68800,Western,MB
2001,"Information, culture and recreation ",22500,Western,MB
2001,Manufacturing,68600,Western,MB
2001,Other services (except public administration),22000,Western,MB
2001,"Professional, scientific and technical services",23500,Western,MB
2001,Public administration,35200,Western,MB
2001,Transportation and warehousing,36400,Western,MB
2001,Utilities,6300,Western,MB
2001,Wholesale and retail trade,83600,Western,MB
2002,Accommodation and food services,33600,Western,MB
2002,Agriculture,30800,Western,MB
2002,"Business, building and other support services",18600,Western,MB
2002,Construction,25700,Western,MB
2002,Educational services,40400,Western,MB
2002,"Finance, insurance, real estate, rental and leasing",30500,Western,MB
2002,"Forestry, fishing, mining, quarrying, oil and gas",5600,Western,MB
2002,Health care and social assistance ,72200,Western,MB
2002,"Information, culture and recreation ",23900,Western,MB
2002,Manufacturing,68800,Western,MB
2002,Other services (except public administration),24700,Western,MB
2002,"Professional, scientific and technical services",24100,Western,MB
2002,Public administration,35000,Western,MB
2002,Transportation and warehousing,36000,Western,MB
2002,Utilities,6400,Western,MB
2002,Wholesale and retail trade,87200,Western,MB
2003,Accommodation and food services,36300,Western,MB
2003,Agriculture,30300,Western,MB
2003,"Business, building and other support services",19500,Western,MB
2003,Construction,27400,Western,MB
2003,Educational services,40900,Western,MB
2003,"Finance, insurance, real estate, rental and leasing",29300,Western,MB
2003,"Forestry, fishing, mining, quarrying, oil and gas",5000,Western,MB
2003,Health care and social assistance ,73200,Western,MB
2003,"Information, culture and recreation ",21700,Western,MB
2003,Manufacturing,68500,Western,MB
2003,Other services (except public administration),27000,Western,MB
2003,"Professional, scientific and technical services",24200,Western,MB
2003,Public administration,35000,Western,MB
2003,Transportation and warehousing,35900,Western,MB
2003,Utilities,7000,Western,MB
2003,Wholesale and retail trade,85500,Western,MB
2004,Accommodation and food services,33800,Western,MB
2004,Agriculture,29800,Western,MB
2004,"Business, building and other support services",20700,Western,MB
2004,Construction,27300,Western,MB
2004,Educational services,42000,Western,MB
2004,"Finance, insurance, real estate, rental and leasing",29700,Western,MB
2004,"Forestry, fishing, mining, quarrying, oil and gas",5400,Western,MB
2004,Health care and social assistance ,77200,Western,MB
2004,"Information, culture and recreation ",23700,Western,MB
2004,Manufacturing,68400,Western,MB
2004,Other services (except public administration),25800,Western,MB
2004,"Professional, scientific and technical services",24900,Western,MB
2004,Public administration,37000,Western,MB
2004,Transportation and warehousing,34600,Western,MB
2004,Utilities,7100,Western,MB
2004,Wholesale and retail trade,85300,Western,MB
2005,Accommodation and food services,36600,Western,MB
2005,Agriculture,30100,Western,MB
2005,"Business, building and other support services",19500,Western,MB
2005,Construction,27900,Western,MB
2005,Educational services,45000,Western,MB
2005,"Finance, insurance, real estate, rental and leasing",32700,Western,MB
2005,"Forestry, fishing, mining, quarrying, oil and gas",5600,Western,MB
2005,Health care and social assistance ,75300,Western,MB
2005,"Information, culture and recreation ",24300,Western,MB
2005,Manufacturing,67700,Western,MB
2005,Other services (except public administration),27200,Western,MB
2005,"Professional, scientific and technical services",24800,Western,MB
2005,Public administration,35200,Western,MB
2005,Transportation and warehousing,33400,Western,MB
2005,Utilities,6700,Western,MB
2005,Wholesale and retail trade,84500,Western,MB
2006,Accommodation and food services,37200,Western,MB
2006,Agriculture,29300,Western,MB
2006,"Business, building and other support services",18400,Western,MB
2006,Construction,29800,Western,MB
2006,Educational services,44900,Western,MB
2006,"Finance, insurance, real estate, rental and leasing",33600,Western,MB
2006,"Forestry, fishing, mining, quarrying, oil and gas",6200,Western,MB
2006,Health care and social assistance ,79300,Western,MB
2006,"Information, culture and recreation ",23800,Western,MB
2006,Manufacturing,66000,Western,MB
2006,Other services (except public administration),25200,Western,MB
2006,"Professional, scientific and technical services",23200,Western,MB
2006,Public administration,35200,Western,MB
2006,Transportation and warehousing,34900,Western,MB
2006,Utilities,5700,Western,MB
2006,Wholesale and retail trade,90500,Western,MB
2007,Accommodation and food services,38100,Western,MB
2007,Agriculture,28800,Western,MB
2007,"Business, building and other support services",17400,Western,MB
2007,Construction,33300,Western,MB
2007,Educational services,46200,Western,MB
2007,"Finance, insurance, real estate, rental and leasing",34700,Western,MB
2007,"Forestry, fishing, mining, quarrying, oil and gas",6100,Western,MB
2007,Health care and social assistance ,79200,Western,MB
2007,"Information, culture and recreation ",23600,Western,MB
2007,Manufacturing,69200,Western,MB
2007,Other services (except public administration),24700,Western,MB
2007,"Professional, scientific and technical services",25100,Western,MB
2007,Public administration,37500,Western,MB
2007,Transportation and warehousing,34500,Western,MB
2007,Utilities,5600,Western,MB
2007,Wholesale and retail trade,88400,Western,MB
2008,Accommodation and food services,36300,Western,MB
2008,Agriculture,28300,Western,MB
2008,"Business, building and other support services",18600,Western,MB
2008,Construction,38300,Western,MB
2008,Educational services,46100,Western,MB
2008,"Finance, insurance, real estate, rental and leasing",35900,Western,MB
2008,"Forestry, fishing, mining, quarrying, oil and gas",6000,Western,MB
2008,Health care and social assistance ,82500,Western,MB
2008,"Information, culture and recreation ",22000,Western,MB
2008,Manufacturing,69000,Western,MB
2008,Other services (except public administration),27500,Western,MB
2008,"Professional, scientific and technical services",25700,Western,MB
2008,Public administration,35800,Western,MB
2008,Transportation and warehousing,35300,Western,MB
2008,Utilities,6400,Western,MB
2008,Wholesale and retail trade,87800,Western,MB
2009,Accommodation and food services,38800,Western,MB
2009,Agriculture,27200,Western,MB
2009,"Business, building and other support services",21100,Western,MB
2009,Construction,38500,Western,MB
2009,Educational services,47100,Western,MB
2009,"Finance, insurance, real estate, rental and leasing",34300,Western,MB
2009,"Forestry, fishing, mining, quarrying, oil and gas",6800,Western,MB
2009,Health care and social assistance ,83200,Western,MB
2009,"Information, culture and recreation ",22800,Western,MB
2009,Manufacturing,60900,Western,MB
2009,Other services (except public administration),28600,Western,MB
2009,"Professional, scientific and technical services",24000,Western,MB
2009,Public administration,36500,Western,MB
2009,Transportation and warehousing,37100,Western,MB
2009,Utilities,6400,Western,MB
2009,Wholesale and retail trade,87300,Western,MB
2010,Accommodation and food services,41700,Western,MB
2010,Agriculture,26400,Western,MB
2010,"Business, building and other support services",20500,Western,MB
2010,Construction,40000,Western,MB
2010,Educational services,47200,Western,MB
2010,"Finance, insurance, real estate, rental and leasing",34500,Western,MB
2010,"Forestry, fishing, mining, quarrying, oil and gas",7200,Western,MB
2010,Health care and social assistance ,90100,Western,MB
2010,"Information, culture and recreation ",21700,Western,MB
2010,Manufacturing,59100,Western,MB
2010,Other services (except public administration),27000,Western,MB
2010,"Professional, scientific and technical services",24100,Western,MB
2010,Public administration,35300,Western,MB
2010,Transportation and warehousing,35500,Western,MB
2010,Utilities,7000,Western,MB
2010,Wholesale and retail trade,91700,Western,MB
2011,Accommodation and food services,42400,Western,MB
2011,Agriculture,24600,Western,MB
2011,"Business, building and other support services",17700,Western,MB
2011,Construction,43000,Western,MB
2011,Educational services,45200,Western,MB
2011,"Finance, insurance, real estate, rental and leasing",35900,Western,MB
2011,"Forestry, fishing, mining, quarrying, oil and gas",6900,Western,MB
2011,Health care and social assistance ,95400,Western,MB
2011,"Information, culture and recreation ",22000,Western,MB
2011,Manufacturing,59400,Western,MB
2011,Other services (except public administration),25900,Western,MB
2011,"Professional, scientific and technical services",24000,Western,MB
2011,Public administration,35700,Western,MB
2011,Transportation and warehousing,34800,Western,MB
2011,Utilities,7000,Western,MB
2011,Wholesale and retail trade,91700,Western,MB
2012,Accommodation and food services,40500,Western,MB
2012,Agriculture,22000,Western,MB
2012,"Business, building and other support services",20100,Western,MB
2012,Construction,44400,Western,MB
2012,Educational services,45600,Western,MB
2012,"Finance, insurance, real estate, rental and leasing",34500,Western,MB
2012,"Forestry, fishing, mining, quarrying, oil and gas",6900,Western,MB
2012,Health care and social assistance ,94900,Western,MB
2012,"Information, culture and recreation ",22900,Western,MB
2012,Manufacturing,61600,Western,MB
2012,Other services (except public administration),28700,Western,MB
2012,"Professional, scientific and technical services",26800,Western,MB
2012,Public administration,36400,Western,MB
2012,Transportation and warehousing,36600,Western,MB
2012,Utilities,7000,Western,MB
2012,Wholesale and retail trade,92800,Western,MB
2013,Accommodation and food services,40500,Western,MB
2013,Agriculture,25000,Western,MB
2013,"Business, building and other support services",20000,Western,MB
2013,Construction,45000,Western,MB
2013,Educational services,45900,Western,MB
2013,"Finance, insurance, real estate, rental and leasing",33300,Western,MB
2013,"Forestry, fishing, mining, quarrying, oil and gas",6600,Western,MB
2013,Health care and social assistance ,95900,Western,MB
2013,"Information, culture and recreation ",24500,Western,MB
2013,Manufacturing,62600,Western,MB
2013,Other services (except public administration),29000,Western,MB
2013,"Professional, scientific and technical services",26600,Western,MB
2013,Public administration,34300,Western,MB
2013,Transportation and warehousing,37100,Western,MB
2013,Utilities,7300,Western,MB
2013,Wholesale and retail trade,92100,Western,MB
2014,Accommodation and food services,39500,Western,MB
2014,Agriculture,24100,Western,MB
2014,"Business, building and other support services",17100,Western,MB
2014,Construction,43900,Western,MB
2014,Educational services,49400,Western,MB
2014,"Finance, insurance, real estate, rental and leasing",33800,Western,MB
2014,"Forestry, fishing, mining, quarrying, oil and gas",6900,Western,MB
2014,Health care and social assistance ,99200,Western,MB
2014,"Information, culture and recreation ",21800,Western,MB
2014,Manufacturing,63800,Western,MB
2014,Other services (except public administration),28400,Western,MB
2014,"Professional, scientific and technical services",24700,Western,MB
2014,Public administration,34600,Western,MB
2014,Transportation and warehousing,37500,Western,MB
2014,Utilities,8200,Western,MB
2014,Wholesale and retail trade,93500,Western,MB
2015,Accommodation and food services,41300,Western,MB
2015,Agriculture,23200,Western,MB
2015,"Business, building and other support services",18800,Western,MB
2015,Construction,45600,Western,MB
2015,Educational services,52200,Western,MB
2015,"Finance, insurance, real estate, rental and leasing",32700,Western,MB
2015,"Forestry, fishing, mining, quarrying, oil and gas",5700,Western,MB
2015,Health care and social assistance ,102100,Western,MB
2015,"Information, culture and recreation ",22600,Western,MB
2015,Manufacturing,64600,Western,MB
2015,Other services (except public administration),29300,Western,MB
2015,"Professional, scientific and technical services",25400,Western,MB
2015,Public administration,34100,Western,MB
2015,Transportation and warehousing,38400,Western,MB
2015,Utilities,8300,Western,MB
2015,Wholesale and retail trade,91900,Western,MB
2016,Accommodation and food services,41600,Western,MB
2016,Agriculture,24300,Western,MB
2016,"Business, building and other support services",18300,Western,MB
2016,Construction,47100,Western,MB
2016,Educational services,50100,Western,MB
2016,"Finance, insurance, real estate, rental and leasing",34000,Western,MB
2016,"Forestry, fishing, mining, quarrying, oil and gas",6400,Western,MB
2016,Health care and social assistance ,101800,Western,MB
2016,"Information, culture and recreation ",23300,Western,MB
2016,Manufacturing,63600,Western,MB
2016,Other services (except public administration),28400,Western,MB
2016,"Professional, scientific and technical services",27600,Western,MB
2016,Public administration,32500,Western,MB
2016,Transportation and warehousing,35500,Western,MB
2016,Utilities,9900,Western,MB
2016,Wholesale and retail trade,89200,Western,MB
2017,Accommodation and food services,42500,Western,MB
2017,Agriculture,24000,Western,MB
2017,"Business, building and other support services",19500,Western,MB
2017,Construction,48300,Western,MB
2017,Educational services,51100,Western,MB
2017,"Finance, insurance, real estate, rental and leasing",37100,Western,MB
2017,"Forestry, fishing, mining, quarrying, oil and gas",6900,Western,MB
2017,Health care and social assistance ,102300,Western,MB
2017,"Information, culture and recreation ",23900,Western,MB
2017,Manufacturing,63900,Western,MB
2017,Other services (except public administration),27500,Western,MB
2017,"Professional, scientific and technical services",28300,Western,MB
2017,Public administration,32700,Western,MB
2017,Transportation and warehousing,36600,Western,MB
2017,Utilities,8900,Western,MB
2017,Wholesale and retail trade,90800,Western,MB
2018,Accommodation and food services,42800,Western,MB
2018,Agriculture,25500,Western,MB
2018,"Business, building and other support services",20900,Western,MB
2018,Construction,47200,Western,MB
2018,Educational services,51600,Western,MB
2018,"Finance, insurance, real estate, rental and leasing",35600,Western,MB
2018,"Forestry, fishing, mining, quarrying, oil and gas",6500,Western,MB
2018,Health care and social assistance ,104800,Western,MB
2018,"Information, culture and recreation ",23500,Western,MB
2018,Manufacturing,61700,Western,MB
2018,Other services (except public administration),30200,Western,MB
2018,"Professional, scientific and technical services",28700,Western,MB
2018,Public administration,33900,Western,MB
2018,Transportation and warehousing,39200,Western,MB
2018,Utilities,7200,Western,MB
2018,Wholesale and retail trade,88300,Western,MB
2019,Accommodation and food services,42700,Western,MB
2019,Agriculture,25600,Western,MB
2019,"Business, building and other support services",22400,Western,MB
2019,Construction,50400,Western,MB
2019,Educational services,51900,Western,MB
2019,"Finance, insurance, real estate, rental and leasing",34100,Western,MB
2019,"Forestry, fishing, mining, quarrying, oil and gas",5500,Western,MB
2019,Health care and social assistance ,104000,Western,MB
2019,"Information, culture and recreation ",22800,Western,MB
2019,Manufacturing,64200,Western,MB
2019,Other services (except public administration),28100,Western,MB
2019,"Professional, scientific and technical services",29600,Western,MB
2019,Public administration,35700,Western,MB
2019,Transportation and warehousing,41600,Western,MB
2019,Utilities,6500,Western,MB
2019,Wholesale and retail trade,88400,Western,MB
1976,Accommodation and food services,8500,Atlantic,NB
1976,Agriculture,5800,Atlantic,NB
1976,"Business, building and other support services",2700,Atlantic,NB
1976,Construction,22800,Atlantic,NB
1976,Educational services,16100,Atlantic,NB
1976,"Finance, insurance, real estate, rental and leasing",9900,Atlantic,NB
1976,"Forestry, fishing, mining, quarrying, oil and gas",9300,Atlantic,NB
1976,Health care and social assistance ,18900,Atlantic,NB
1976,"Information, culture and recreation ",7000,Atlantic,NB
1976,Manufacturing,34300,Atlantic,NB
1976,Other services (except public administration),11500,Atlantic,NB
1976,"Professional, scientific and technical services",4500,Atlantic,NB
1976,Public administration,19600,Atlantic,NB
1976,Transportation and warehousing,16900,Atlantic,NB
1976,Utilities,3600,Atlantic,NB
1976,Wholesale and retail trade,39600,Atlantic,NB
1977,Accommodation and food services,9400,Atlantic,NB
1977,Agriculture,4900,Atlantic,NB
1977,"Business, building and other support services",2800,Atlantic,NB
1977,Construction,19800,Atlantic,NB
1977,Educational services,17500,Atlantic,NB
1977,"Finance, insurance, real estate, rental and leasing",10700,Atlantic,NB
1977,"Forestry, fishing, mining, quarrying, oil and gas",9800,Atlantic,NB
1977,Health care and social assistance ,19300,Atlantic,NB
1977,"Information, culture and recreation ",8100,Atlantic,NB
1977,Manufacturing,33600,Atlantic,NB
1977,Other services (except public administration),10700,Atlantic,NB
1977,"Professional, scientific and technical services",3300,Atlantic,NB
1977,Public administration,17100,Atlantic,NB
1977,Transportation and warehousing,16400,Atlantic,NB
1977,Utilities,3700,Atlantic,NB
1977,Wholesale and retail trade,41200,Atlantic,NB
1978,Accommodation and food services,10900,Atlantic,NB
1978,Agriculture,4200,Atlantic,NB
1978,"Business, building and other support services",3000,Atlantic,NB
1978,Construction,19700,Atlantic,NB
1978,Educational services,18600,Atlantic,NB
1978,"Finance, insurance, real estate, rental and leasing",10200,Atlantic,NB
1978,"Forestry, fishing, mining, quarrying, oil and gas",10200,Atlantic,NB
1978,Health care and social assistance ,22400,Atlantic,NB
1978,"Information, culture and recreation ",8900,Atlantic,NB
1978,Manufacturing,37300,Atlantic,NB
1978,Other services (except public administration),12700,Atlantic,NB
1978,"Professional, scientific and technical services",3700,Atlantic,NB
